# Detect_Convert_Times, Contour_Perspective_Times, Mapping_Times, Total_Times
2.206435203552246094e-01,3.926529884338378906e-01,5.030632019042968750e-04,6.187996864318847656e-01
2.453963756561279297e-01,3.792147636413574219e-01,0.000000000000000000e+00,6.281158924102783203e-01
2.286517620086669922e-01,4.062199592590332031e-01,0.000000000000000000e+00,6.388750076293945312e-01
2.459824085235595703e-01,3.885731697082519531e-01,0.000000000000000000e+00,6.380586624145507812e-01
2.437450885772705078e-01,3.841087818145751953e-01,1.000404357910156250e-03,6.318585872650146484e-01
2.380633354187011719e-01,3.703420162200927734e-01,0.000000000000000000e+00,6.124057769775390625e-01
2.392008304595947266e-01,3.872849941253662109e-01,1.003503799438476562e-03,6.314330101013183594e-01
2.375009059906005859e-01,3.648216724395751953e-01,9.412765502929687500e-04,6.072638034820556641e-01
2.457184791564941406e-01,3.861408233642578125e-01,9.996891021728515625e-04,6.363644599914550781e-01
2.398357391357421875e-01,3.718383312225341797e-01,9.970664978027343750e-04,6.156711578369140625e-01
2.543580532073974609e-01,3.822031021118164062e-01,0.000000000000000000e+00,6.405618190765380859e-01
2.431468963623046875e-01,3.675768375396728516e-01,0.000000000000000000e+00,6.137263774871826172e-01
2.252223491668701172e-01,3.974976539611816406e-01,0.000000000000000000e+00,6.272265911102294922e-01
2.139270305633544922e-01,3.948593139648437500e-01,0.000000000000000000e+00,6.127874851226806641e-01
2.436130046844482422e-01,3.925266265869140625e-01,0.000000000000000000e+00,6.406443119049072266e-01
2.353055477142333984e-01,4.013752937316894531e-01,1.000642776489257812e-03,6.416821479797363281e-01
2.575693130493164062e-01,3.914952278137207031e-01,0.000000000000000000e+00,6.520648002624511719e-01
2.388689517974853516e-01,3.715598583221435547e-01,0.000000000000000000e+00,6.144287586212158203e-01
2.377243041992187500e-01,3.919615745544433594e-01,0.000000000000000000e+00,6.332051753997802734e-01
2.327623367309570312e-01,4.250726699829101562e-01,0.000000000000000000e+00,6.623795032501220703e-01
2.506957054138183594e-01,3.743700981140136719e-01,0.000000000000000000e+00,6.290659904479980469e-01
2.372498512268066406e-01,3.796565532684326172e-01,0.000000000000000000e+00,6.209063529968261719e-01
2.255032062530517578e-01,3.927440643310546875e-01,0.000000000000000000e+00,6.222472190856933594e-01
2.413456439971923828e-01,4.011650085449218750e-01,1.002788543701171875e-03,6.465141773223876953e-01
